id,book,alignments,ch_match
Kraken220413030905,0786IbnCabdRahmanJamalDinHubayshi.Baraka,1,178
Kraken220413030927,0704IbnNuhQusi.WahidFiSuluk,1,236
Kraken220413030928,0852IbnHajarCasqalani.BadhlMacun,12,3134
Kraken220413030940,0725ShihabDinMahmudAbuThana.HusnTawassul,2,215
Kraken220413194022,1359FarajAllahZakiKurdi.MajmucatFatawaIbnTaymiyya,22,5078
Kraken22041319410300,0973IbnHajarHaythami.Cumda,5,1078
Kraken220413194118,0902Sakhawi.Istijlab,7,1239
Kraken220413194132,0973IbnHajarHaythami.MinahMakkiyya,9,1480
Kraken220413202218,0597IbnJawzi.MinhajQasidin,17,3813
Kraken220413203014,0384AbuHasanRummani.Jamic,1,67
Kraken220414225509,0505Ghazali.MinhajCabidin,1,474
Kraken220414225526,0697Dirini.TaharatQulub,3,746
Kraken220610012301,0375IkhwanSafa.RisalatJamica,1,108
Kraken220727035853,1204SulaymanJamal.FutuhatIlahiyya,136,33163
Kraken220804162009,0355IbnQass.DalailQibla,2,289
Kraken230106005528,0944IbnCaliIbnDaybacShaybani.TaysirWusul,78,26649
Kraken230110004547,0622IbnBadrDiyaDinMawsili.JamcBaynSahihayn,81,21868
LMN20200826,0711IbnIbrahimCimadDinWasiti.MiftahTariqIlaSulukTahqiq,1,146
LMN20200829,0711IbnIbrahimCimadDinWasiti.QawacidFiSuluk,1,150
MMS00008,0843IbnKhatibNasiriya.DurrMuntakhab,2,475
MMS00013,0845Maqrizi.KhabarCanBashar,550,159062
MMS00016,0852IbnHajarCasqalani.Badhl,12,3283
MMS00020,0854IbnCarabshah.TalifTahir,1,121
MMS00028,0875Husayni.RawdMugharras,3,321
MMS00030,0885Biqaci.CunwanZaman,1,139
Masaha000001Vols,0329IbnYacqubKulayni.UsulMinKafi,4,460
Masaha000146Vols,0800IbnAbiHasanDaylami.IrshadQulub,1,124
Masaha000221,0350IbnJahham.Tawil,4,795
Masaha000554Vols,1450NasirMakarimShirazi.AmthalFiTafsir,242,45450
Masaha000955Vols,0393IbnHammadJawhari.SihahTajLugha,7,717
Masaha000979,0350MuhammadIbnMuhammadIbnAshcath.Jacfariyyat,1,73
Masaha001028,0573IbnHibatAllahQutbDinRawandi.SalwatHazin,1,208
Masaha001044Vols,0690IbnAbiTalibFadilYusufi.KashfRumuz,1,312
Masaha001171Vols,0993MuhaqqiqArdabili.MajmacFaida,4,886
Masaha001700,0656IbnAbiHadid.RawdaMukhtara,1,186
Masaha001831,0360Tabarani.AkhbarHasan,2,632
